Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-02-05,2014,2,5,Wednesday,5,2014-05,734.25,741.33,726.33,737.76,0,737.76,0.0048,742.9164285714286,732.5494
2014-02-06,2014,2,6,Thursday,5,2014-05,737.76,750.04,734.33,749.53,0,749.53,0.016,741.6907142857143,733.0716
2014-02-07,2014,2,7,Friday,5,2014-05,749.53,762.36,749.53,760.76,0,760.76,0.015,741.3649999999999,733.7326
2014-02-10,2014,2,10,Monday,5,2014-05,760.76,767.45,760.76,763.64,0,763.64,0.0038,742.405,734.1014
2014-02-11,2014,2,11,Tuesday,5,2014-05,763.64,780.77,763.64,780.03,0,780.03,0.0215,744.6514285714285,734.8889999999999
2014-02-12,2014,2,12,Wednesday,6,2014-06,780.03,794.31,780.03,788.51,0,788.51,0.0109,747.6792857142857,736.1426000000001
2014-02-13,2014,2,13,Thursday,6,2014-06,788.51,795.53,771.44,785.36,0,785.36,-0.004,751.5671428571429,737.4746
2014-02-14,2014,2,14,Friday,6,2014-06,785.36,796.62,784.54,793.74,0,793.74,0.0107,756.4985714285714,738.8334
2014-02-17,2014,2,17,Monday,6,2014-06,793.74,806.36,793.73,805.02,0,805.02,0.0141999999999999,761.5292857142857,740.4143999999999
2014-02-18,2014,2,18,Tuesday,6,2014-06,805.02,813.73,799.12,812.08,0,812.08,0.0088,766.367142857143,741.9766000000001
2014-02-19,2014,2,19,Wednesday,7,2014-07,812.08,820.44,808.27,819.48,0,819.48,0.0091,771.7464285714286,743.7088
2014-02-20,2014,2,20,Thursday,7,2014-07,819.48,819.48,801.14,811.73,0,811.73,-0.0095,776.75,745.4105999999999
2014-02-21,2014,2,21,Friday,7,2014-07,811.73,816.37,801.83,811.96,0,811.96,0.0003,782.4178571428572,747.2919999999999
2014-02-24,2014,2,24,Monday,7,2014-07,811.96,811.97,799.95,803.56,0,803.56,-0.0103,787.3685714285714,749.2114
2014-02-25,2014,2,25,Tuesday,7,2014-07,803.56,803.58,781.09,789.28,0,789.28,-0.0178,791.0485714285714,750.8536
2014-02-26,2014,2,26,Wednesday,8,2014-08,789.28,792.28,780.61,782.4,0,782.4,-0.0087,793.3964285714286,752.1286
2014-02-27,2014,2,27,Thursday,8,2014-08,782.4,791.02,775.34,789.67,0,789.67,0.0093,795.4614285714287,753.5061999999999
2014-02-28,2014,2,28,Friday,8,2014-08,789.67,790.02,782.09,788.9,0,788.9,-0.001,797.2657142857142,754.8784
2014-03-03,2014,3,3,Monday,8,2014-08,788.9,788.9,769.85,775.25,0,775.25,-0.0173,796.9242857142857,755.8926000000001
2014-03-04,2014,3,4,Tuesday,8,2014-08,775.25,788.0,775.25,784.46,0,784.46,0.0118999999999999,796.635,757.0954
2014-03-05,2014,3,5,Wednesday,9,2014-09,784.46,784.46,770.63,774.6,0,774.6,-0.0126,795.8664285714285,757.9731999999999
2014-03-06,2014,3,6,Thursday,9,2014-09,774.6,790.78,774.6,786.24,0,786.24,0.015,795.3307142857142,759.0681999999999
2014-03-07,2014,3,7,Friday,9,2014-09,786.24,786.24,753.41,757.84,0,757.84,-0.0361,791.9607142857142,759.5952000000001
2014-03-09,2014,3,9,Sunday,9,2014-09,757.84,757.84,757.84,757.84,0,757.84,0.0,788.0864285714285,759.8044
2014-03-10,2014,3,10,Monday,9,2014-09,757.84,757.84,737.81,744.28,0,744.28,-0.0179,782.715,759.6453999999999
