Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-02-26,2014,2,26,Wednesday,8,2014-08,896.69,907.49,894.2,905.66,0,905.66,0.01,875.3728571428571,885.0594
2014-02-27,2014,2,27,Thursday,8,2014-08,905.66,907.33,893.93,905.32,0,905.32,-0.0004,879.9449999999999,885.9420000000001
2014-02-28,2014,2,28,Friday,8,2014-08,905.32,919.02,904.75,914.67,0,914.67,0.0103,884.1957142857143,886.7128
2014-03-03,2014,3,3,Monday,8,2014-08,914.67,914.67,886.81,893.22,0,893.22,-0.0235,885.7650000000001,886.7026000000001
2014-03-04,2014,3,4,Tuesday,8,2014-08,893.22,920.59,893.22,920.57,0,920.57,0.0306,890.1135714285714,887.1332000000001
2014-03-05,2014,3,5,Wednesday,9,2014-09,920.57,926.08,915.1,918.9,0,918.9,-0.0018,894.3157142857143,887.1134000000001
2014-03-06,2014,3,6,Thursday,9,2014-09,918.9,921.33,911.53,914.64,0,914.64,-0.0046,898.1899999999999,887.0718
2014-03-07,2014,3,7,Friday,9,2014-09,914.64,918.92,908.56,909.28,0,909.28,-0.0059,900.9714285714286,886.923
2014-03-09,2014,3,9,Sunday,9,2014-09,909.28,909.28,909.28,909.28,0,909.28,0.0,903.1778571428572,886.6425999999999
2014-03-10,2014,3,10,Monday,9,2014-09,909.28,915.42,899.04,903.41,0,903.41,-0.0065,904.8521428571428,886.3178
2014-03-11,2014,3,11,Tuesday,9,2014-09,903.41,909.91,898.5,904.87,0,904.87,0.0016,906.5485714285712,886.0097999999999
2014-03-12,2014,3,12,Wednesday,10,2014-10,904.87,905.07,890.47,893.59,0,893.59,-0.0125,906.6514285714284,885.5820000000001
2014-03-13,2014,3,13,Thursday,10,2014-10,893.59,896.21,884.03,884.03,0,884.03,-0.0107,905.295,884.9218000000001
2014-03-14,2014,3,14,Friday,10,2014-10,884.03,884.03,871.57,874.04,0,874.04,-0.0113,903.6771428571428,884.1694
2014-03-17,2014,3,17,Monday,10,2014-10,874.04,889.99,873.73,886.03,0,886.03,0.0137,902.275,883.8502000000001
2014-03-18,2014,3,18,Tuesday,10,2014-10,886.03,897.24,882.73,896.4,0,896.4,0.0116999999999999,901.637857142857,883.5534000000001
2014-03-19,2014,3,19,Wednesday,11,2014-11,896.4,905.41,894.35,900.83,0,900.83,0.0049,900.6492857142857,883.9076
2014-03-20,2014,3,20,Thursday,11,2014-11,900.83,905.45,885.97,904.13,0,904.13,0.0037,901.4285714285714,884.3954000000001
2014-03-21,2014,3,21,Friday,11,2014-11,904.13,908.19,900.25,904.82,0,904.82,0.0008,900.3035714285714,884.7692
2014-03-24,2014,3,24,Monday,11,2014-11,904.82,905.31,893.31,895.07,0,895.07,-0.0108,898.6014285714285,884.8448
2014-03-25,2014,3,25,Tuesday,11,2014-11,895.07,907.09,894.63,901.12,0,901.12,0.0068,897.6357142857142,884.8961999999999
2014-03-26,2014,3,26,Wednesday,12,2014-12,901.12,911.1,900.12,901.78,0,901.78,0.0007,897.1,885.0856000000001
2014-03-27,2014,3,27,Thursday,12,2014-12,901.78,901.78,891.71,894.84,0,894.84,-0.0077,896.0685714285713,885.1078
2014-03-28,2014,3,28,Friday,12,2014-12,894.84,904.65,889.94,895.09,0,895.09,0.0003,895.4742857142857,884.9984000000001
2014-03-31,2014,3,31,Monday,12,2014-12,895.09,911.34,895.09,907.24,0,907.24,0.0136,895.6435714285715,885.2396000000001
2014-04-01,2014,4,1,Tuesday,12,2014-12,907.24,931.43,907.24,931.43,0,931.43,0.0266999999999999,898.3464285714286,885.7090000000001
2014-04-02,2014,4,2,Wednesday,13,2014-13,931.43,934.23,923.23,923.23,0,923.23,-0.0088,901.1464285714284,886.3731999999999
2014-04-03,2014,4,3,Thursday,13,2014-13,923.23,924.51,915.23,917.0,0,917.0,-0.0067,904.215,887.0362
2014-04-04,2014,4,4,Friday,13,2014-13,917.0,917.0,900.36,901.52,0,901.52,-0.0169,905.3214285714286,887.6777999999999
2014-04-07,2014,4,7,Monday,13,2014-13,901.52,901.52,881.21,884.17,0,884.17,-0.0192,904.4478571428572,887.971
2014-04-08,2014,4,8,Tuesday,13,2014-13,884.17,895.04,869.88,882.02,0,882.02,-0.0024,903.1042857142858,888.2837999999999
2014-04-09,2014,4,9,Wednesday,14,2014-14,882.02,910.07,882.02,910.07,0,910.07,0.0318,903.5285714285714,889.1064000000001
2014-04-10,2014,4,10,Thursday,14,2014-14,910.07,918.14,894.44,895.96,0,895.96,-0.0155,902.8957142857143,889.8704000000001
2014-04-11,2014,4,11,Friday,14,2014-14,895.96,895.96,858.61,865.75,0,865.75,-0.0337,900.8014285714288,890.099
2014-04-14,2014,4,14,Monday,14,2014-14,865.75,865.75,841.67,857.46,0,857.46,-0.0096,897.6828571428571,890.6508
2014-04-15,2014,4,15,Tuesday,14,2014-14,857.46,861.07,842.07,843.71,0,843.71,-0.016,893.5350000000001,890.8642
2014-04-16,2014,4,16,Wednesday,15,2014-15,843.71,855.72,843.71,849.7,0,849.7,0.0070999999999999,890.3107142857143,891.0081999999999
2014-04-17,2014,4,17,Thursday,15,2014-15,849.7,873.28,849.7,872.55,0,872.55,0.0269,888.7007142857144,891.633
2014-04-22,2014,4,22,Tuesday,15,2014-15,872.55,886.86,872.37,881.09,0,881.09,0.0098,886.8328571428572,892.1515999999999
2014-04-23,2014,4,23,Wednesday,16,2014-16,881.09,882.25,862.5,867.94,0,867.94,-0.0149,882.2978571428572,892.0853999999999
2014-04-24,2014,4,24,Thursday,16,2014-16,867.94,878.69,863.16,870.96,0,870.96,0.0034999999999999,878.5642857142858,892.3108
2014-04-25,2014,4,25,Friday,16,2014-16,870.96,874.03,859.66,861.98,0,861.98,-0.0103,874.6342857142857,892.349
2014-04-28,2014,4,28,Monday,16,2014-16,861.98,865.82,840.73,842.37,0,842.37,-0.0227,870.4092857142857,891.9884
2014-04-29,2014,4,29,Tuesday,16,2014-16,842.37,857.87,842.37,847.07,0,847.07,0.0056,867.7592857142857,891.5229999999999
2014-04-30,2014,4,30,Wednesday,17,2014-17,847.07,847.07,831.37,838.0,0,838.0,-0.0107,864.615,890.7151999999999
